ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;TYPE_LISTE;GROUPE_GRAND_PUBLIC
"25";"629197";"629197";"Brassavola cucullata ";"(L.) R.Br., 1813";"";"";"ES";"Orchidaceae";"";"";"EN";"A2ac+4c B2ab(ii,iii,iv,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"3192";"3192";"Calidris canutus";"(Linnaeus, 1758)";"Bécasseau maubèche";"";"ES";"Scolopacidae";"";"";"EN";"D";"";"2012";"NT";"LC";"";"Liste rouge des oiseaux non nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_non_nicheurs_2012";"Oiseaux";
"25";"630986";"632142";"Capparis coccolobifolia";"Mart. ex Eichler, 1865";"";"";"ES";"Capparaceae";"";"";"EN";"B2ab(iii,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"629601";"632250";"Cassine xylocarpa";"Vent., 1803";"Bwa tan";"";"ES";"Celastraceae";"";"";"EN";"B2ab(iii,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"629282";"629282";"Catesbaea melanocarpa ";"Urb., 1899";"";"";"ES";"Rubiaceae";"";"";"EN";"B2ab(iii) D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"441755";"441755";"Charadrius wilsonia";"Ord, 1814";"Pluvier de Wilson";"";"ES";"Charadriidae";"";"";"EN";"CR (D) (-1)";"";"2012";"LC";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"25";"716120";"716120";"Cheilanthes microphylla ";"(Sw.) Sw., 1806";"";"";"ES";"Pteridaceae";"";"";"EN";"B2ab(iii,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"441860";"441860";"Dendrocygna arborea";"(Linnaeus, 1758)";"Dendrocygne des Antilles";"";"ES";"Anatidae";"";"";"EN";"CR (D) (-1)";"";"2012";"VU";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"25";"629547";"629547";"Dichaea hystricina ";"Rchb.f., 1865";"Mille-pattes";"";"ES";"Orchidaceae";"";"";"EN";"B2ab(ii,iii,v) C2a(i)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"629561";"629561";"Dioclea megacarpa ";"Rolfe, 1901";"Zyé a bourik";"";"ES";"Fabaceae";"";"";"EN";"D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"199330";"199330";"Egretta caerulea";"(Linnaeus, 1758)";"Aigrette bleue";"";"ES";"Ardeidae";"";"";"EN";"CR (D) (-1)";"";"2012";"LC";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
